References:	 ['ElMiron', 'Mota', 'Ust_Ishim', 'Kostenki14', 'GoyetQ116-1', 'Vestonice16', 'MA1', 'Villabruna', 'EHG', 'CHG', 'Natufian', 'Greece_N', 'Levant_N']
target	feasible	Anatolia_N	Armenia_ChL	Steppe_MLBA	Tunisia_N	Megiddo_MLBA_original	prob	nested-p	nested_p_with_Anatolia_N	nested_p_with_Armenia_ChL	nested_p_with_Steppe_MLBA	nested_p_with_Tunisia_N	nested_p_with_Megiddo_MLBA_original	valid
Birgi_9	True	0.757	0	0.241	0	0	0.00180695	3.649312102715907e-05	0	1.6690034014277266e-05	0	0.22206136901076456	3.78154675125808e-05	True
Birgi_9	True	0.929	0	0	0.071	0	3.63337e-10	3.4583447217073626e-13	0	6.061817714453355e-14	3.52804452319333e-10	0	1.5831764166307494e-07	False
Birgi_9	False	-6.386	0	0	0	7.386	0	0.0	0	0.0	0.0	0.0	0	False
Birgi_9	False	0	1.416	-0.416	0	0	1.86023e-08	3.0800362260663405e-11	6.197820034969936e-12	0	0	1.0	1.0	False
Birgi_9	True	0	0.939	0	0.061	0	3.0454e-15	0.0	0.0	0	0.006551460113551677	0	0.0	False
Birgi_9	True	0	0.390	0	0	0.610	0.012182	0.0005050065517572255	9.249667116906224e-05	0	1.0	0.003895274984633823	0	False
Birgi_9	True	0	0	0.678	0.322	0	0	0.0	0.0	0.0	0	0	0.0	False
Birgi_9	True	0	0	0.201	0	0.799	0.0229622	0.0012687668035645805	0.002022502919140412	1.0	0	0.0011314884085980026	0	False
Birgi_9	False	0	0	0	-0.107	1.107	8.12153e-06	3.9795424400246304e-08	0.05424967148701976	1.263707821719251e-07	1.438228269812214e-08	0	0	False
Birgi_9	True	1.000	0	0	0	0	9.27341e-11	1.2778667013435552e-13	0	4.551914400963142e-15	4.861899771668732e-11	0.0205447882642098	1.0	False
Birgi_9	True	0	1.000	0	0	0	3.02448e-15	0.0	0.0	0	7.554168401924244e-10	0.11530225282016382	0.0	True
Birgi_9	True	0	0	1.000	0	0	0	0.0	0.0	0.0	0	0.0	0.0	False
Birgi_9	True	0	0	0	1.000	0	0	0.0	0.0	0.0	0.0	0	0.0	False
Birgi_9	True	0	0	0	0	1.000	2.68956e-07	1.1358618490220351e-09	1.0	4.5374122792374294e-08	1.663782678296144e-08	0.0013188181616324846	0	False
Birgi_14	False	0.553	-0.035	0.270	0.027	0.184	0.55958	nan	0	0	0	0	0	False
Birgi_14	True	0.649	0.083	0.218	0.051	0	0.548004	0.30004368528041847	0	0	0	0	0.30004368528041847	False
Birgi_14	False	0.520	-0.080	0.291	0	0.269	0.652358	0.7987609639171026	0	0	0	0.7987609639171026	0	False
Birgi_14	False	0.735	0.482	0	0.068	-0.285	0.0619902	0.002108040253830934	0	0	0.002108040253830934	0	0	False
Birgi_14	True	0.568	0	0.257	0.026	0.148	0.613038	0.5061587168509367	0	0.5061587168509367	0	0	0	False
Birgi_14	False	0	-0.454	0.462	-0.086	1.077	0.00282563	1.842053146883238e-05	1.842053146883238e-05	0	0	0	0	False
Birgi_14	True	0.654	0.147	0.199	0	0	0.435632	0.1952450192872509	0	0	0	0.13863905505810803	0.07354827707654688	True
Birgi_14	True	0.546	0.421	0	0.033	0	0.0257802	0.001113775147844831	0	0	0.0004013280490550164	0	0.04170835687672336	False
Birgi_14	False	0.591	0.482	0	0	-0.073	0.0273021	0.0012162292320567758	0	0	0.00025718540632335696	0.046290274209059734	0	False
Birgi_14	True	0.684	0	0.266	0.050	0	0.504285	0.28550378286753486	0	0.2312754602510948	0	0	0.1507149287076478	False
Birgi_14	True	0.524	0	0.256	0	0.221	0.581035	0.42698773065302575	0	0.20073757749161691	0	0.26165109058823655	0	True
Birgi_14	True	0.621	0	0	0.029	0.350	9.84952e-11	4.618527782440651e-14	0	5.664357871637549e-13	5.773159728050814e-15	0	0	False
Birgi_14	False	0	1.325	-0.332	0.007	0	7.41341e-21	0.0	0.0	0	0	0	0.0	False
Birgi_14	False	0	0.848	-0.113	0	0.292	1.41064e-24	0.0	0.0	0	0	0.0	0	False
Birgi_14	False	0	0.432	0	-0.060	0.629	2.31859e-08	2.372479990242482e-11	3.3211622341156044e-10	0	3.198843612217672e-08	0	0	False
Birgi_14	False	0	0	0.261	-0.070	0.808	0.000283244	2.1393682131387592e-06	4.054954915178044e-07	0.005329779616024433	0	0	0	False
Birgi_14	True	0.569	0.431	0	0	0	0.032022	0.0024724094249536366	0	0	0.0008740509515527961	0.388382540660264	0.33747497226626655	True
Birgi_14	True	0.713	0	0.285	0	0	0.345547	0.14129411819772741	0	0.13899953362443407	0	0.08593071501353233	0.052681298930246756	True
Birgi_14	True	0.908	0	0	0.092	0	2.34942e-10	2.5279778270714814e-13	0	4.019451438352917e-12	1.4210854715202004e-14	0	0.582631308649227	False
Birgi_14	False	-6.138	0	0	0	7.138	0	0.0	0	0.0	0.0	0.0	0	False
Birgi_14	False	0	1.273	-0.273	0	0	3.25448e-16	0.0	0.0	0	0	1.0	1.0	False
Birgi_14	True	0	0.941	0	0.059	0	3.39984e-18	0.0	0.0	0	1.0	0	3.4439118223872356e-13	False
Birgi_14	True	0	0.463	0	0	0.537	5.57223e-09	9.219403018789762e-12	1.5411016907052044e-10	0	1.0	0.01933455951118479	0	False
Birgi_14	True	0	0	0.690	0.310	0	0	0.0	0.0	0.0	0	0	0.0	False
Birgi_14	True	0	0	0.265	0	0.735	7.66527e-05	7.479107893004766e-07	5.4156323758824954e-08	1.0	0	0.023192887140801255	0	False
Birgi_14	False	0	0	0	-0.069	1.069	2.89987e-15	0.0	4.0591596084382786e-07	6.550974207542026e-10	5.773159728050814e-15	0	0	False
Birgi_14	True	1.000	0	0	0	0	1.07631e-11	1.3766765505351941e-14	0	5.129230373768223e-14	5.551115123125783e-16	0.002280309091006627	1.0	False
Birgi_14	True	0	1.000	0	0	0	4.13862e-18	0.0	0.0	0	0.0004972366023100472	0.14219899691317028	1.866062859789963e-12	True
Birgi_14	True	0	0	1.000	0	0	0	0.0	0.0	0.0	0	0.0	0.0	False
Birgi_14	True	0	0	0	1.000	0	0	0.0	0.0	0.0	0.0	0	0.0	False
Birgi_14	True	0	0	0	0	1.000	1.38327e-15	0.0	1.0	1.3149589195293743e-09	9.880984919163893e-15	0.04257998060414059	0	False
SelMan_T_7	True	0.523	0.134	0.185	0.055	0.104	0.109513	nan	0	0	0	0	0	False
SelMan_T_7	True	0.565	0.220	0.148	0.067	0	0.133369	0.42662264849430265	0	0	0	0	0.42662264849430265	False
SelMan_T_7	True	0.438	0.056	0.220	0	0.287	0.104543	0.2261362410092136	0	0	0	0.2261362410092136	0	True
SelMan_T_7	False	0.605	0.482	0	0.075	-0.162	0.0655532	0.08352191269452791	0	0	0.08352191269452791	0	0	False
SelMan_T_7	True	0.496	0	0.250	0.039	0.214	0.127158	0.37199183650662604	0	0.37199183650662604	0	0	0	False
SelMan_T_7	False	0	-0.309	0.388	-0.052	0.973	0.000324948	2.5930730987444583e-05	2.5930730987444583e-05	0	0	0	0	False
SelMan_T_7	True	0.569	0.332	0.099	0	0	0.051679	0.0768807314644091	0	0	0	0.03391468129751074	0.05553330912634735	False
SelMan_T_7	True	0.494	0.451	0	0.054	0	0.0565907	0.08909963865616144	0	0	0.04032874590268232	0	0.17483378635560465	False
SelMan_T_7	True	0.458	0.480	0	0	0.063	0.0213523	0.019312552613582223	0	0	0.011227177236698194	0.026872252343929426	0	False
SelMan_T_7	True	0.664	0	0.261	0.075	0	0.0702828	0.12745396989482083	0	0.0618152233834981	0	0	0.06831705917757858	False
SelMan_T_7	True	0.425	0	0.245	0	0.330	0.134558	0.3939623234571148	0	0.5281239517794496	0	0.3018507021439478	0	True
SelMan_T_7	True	0.620	0	0	0.044	0.337	3.36787e-12	2.4202861936828413e-14	0	1.099120794378905e-14	3.552713678800501e-15	0	0	False
SelMan_T_7	False	0	1.313	-0.346	0.033	0	4.88333e-16	0.0	0.0	0	0	0	9.992007221626409e-16	False
SelMan_T_7	False	0	0.463	0.046	0	0.506	1.80253e-20	0.0	0.0	0	0	0.0	0	False
SelMan_T_7	False	0	0.469	0	-0.029	0.560	2.66208e-06	1.4860114494474885e-07	9.619944207894804e-08	0	0.00020893201864535804	0	0	False
